ln(t/MeV),ln(a)
76.6230233527416697603250125276349303651169639602034134208225843948721491313071,-36.36046362085784466535183568777202538564368687743550112042911230890931392736003
76.62302335274166975923236087032856200589966744759387783747781489427220585325637,-36.36046362085784466581658009637184829263137182361147515660238778777727492071979
76.62302335274166974830584429726487841372670232149852200403011988827277307274688,-36.36046362085784467046402418237007733457901512994566641218074212291664292482129
76.62302335274166963904067856662804249199705106054496366955316982827844526764974,-36.36046362085784471693846504235236496113483265073278126502979413500091945964899
76.62302335274166854638902126025968327470053845100938032478366922833516721667507,-36.3604636208578451816828736421749619346314536032370720056251950054256392555458
76.62302335274165761987244819657609110173541235565354687708866322890238670692945,-36.36046362085784982912695964037300246344223770450670617608161651878745765203715
76.62302335274154835470671755974016937208415140209521240013860323457458160946996,-36.36046362085789630356781961956048713600764925238127834179824962413855660726179
76.62302335274045570304941119138095207557154186651186763063800329129653063487063,-36.36046362085836104797641913214327230753173075450402275820484908208951005495199
76.62302335272952918647634750778877911044544651067841993563200385851602088887511,-36.3604636208630084920623863287649687226816536670677154588793500634710903417947
76.62302335262026402074571067186704945918449295234394298557200953071092342891661,-36.3604636209094829329192653743665157775972221335882498956927661573391595930405
76.6230233515276123634393423126497529465749573689991734849720662526599488293338,-36.36046362137422734120876376895318917390278100732830237792506469167249105437793
76.6230233406010957903756587204767878204796015355514784789726334721502028335024,-36.36046362602167139617454168485271302521452580616078002383560391888574878393906
76.62302323133593005973882279874713655952604320107452841897830566705274287519172,-36.36046367249610915291183075962868691891633157140563888660785333862608160466752
76.6230221386842727533704635814506239499904598563050278190350276160781432920849,-36.36046413724020742834862555294138953892806827113176535239460329101087059087184
76.62301121216769968968687140848549785463462640861002181960224710633214746102218,-36.36046878465326110201910285032900193078782628111296827017491245553427485172086
76.62290194700196905285094967883423690107629193165996182527444200887218915039506,-36.36051525599100267767499980225980819762897674477934614679819410950938030691812
76.62180929534466268449173238232162736549294716215936188199639103427260604412159,-36.36097969020177676963829932595397732543623573784115161594074299637953935367211
76.61088277877159900089955941719553200965949946715336244921588128827677498138796,-36.36559622817804273653625014313322209040208306526624229857587477818833025930441
76.50161761304096216497782976593457845132502251709336812141078382831846435404837,-36.40909039136355818861285336532871504682244942074398864373235487443164766044555
75.79778822409880579348102146300307524525613112574362104148807420019319489291173,-36.59944658081954895170735919103493573977467185848019985556692128461571017994268
74.47937737615461651000826450494705992179364173922877921687771289712872385242598,-36.7359410893711081274574230931794254662908958799335528235161503388700857035437
72.62621605066705282074866319917067525356170409143868440465571890831856012175648,-36.77799008624835619231647556181681417485587664860993208187346447749449798379787
69.88124413170031573942377947404151311166637473521821974820198187709707809366007,-36.78530786368000386190680231470501461460032870758322729862953017552250598086678
65.55626873236433297916991937333138213552492387281942942671983331795755171344472,-36.78580632889820370749045653412792346085004822526433739628459388765131982570308
57.61127050313618645420188971103868893110319526514122385480276553908803607448318,-36.78581348248919003248381326686609306905225721494319652643429483805542122071481
36.24117091647448475907673993211859368545193630181880154853831880969738224950329,-36.78581348738262245991624097815588394885300258962892377119757626632426134668059
23.444079206442065554938380955718457698822021484375,-36.7858134873826224615744051731181721422960825748193815342112964186729890644035
